yp6475	Kim Hyo-jin
yp3718	Joseph Egger
yp3231	Uta Hagen
yp20891	Rudy Fernandez (actor)
yp39777	David Steinberg
yp16976	Mark Wing-Davey
yp967105	Conrado Conde
yp2587	Natalie Gregory
yp1218526	Jo Wyatt
yp36626	Randall Frakes
yp91396	Herbert Klynn
yp54612	Jessica Yu
yp6133	Lyndon Brook
yp44245	Greg Pak
yp48791	Fridrikh Ermler
yp6481	Tamala Jones
yp12295	Gregory Sierra
yp1147077	Rodney Kageyama
yp47725	David L. Paterson
yp1138668	Anton Schelkopf
yp3177	Chris Hardwick
yp987659	Georgie Sterling
yp1073795	Derek Judge
yp86314	Christian Nyby
yp2929	Bridgette Wilson
yp1138283	James Willcock
yp17552	Walter Stull
yp22462	David Palffy
yp11616	Chao-Li Chi
yp16211	Nell O'Day
yp13884	Alisa Freindlich
yp17268	David Arnott
yp41689	Kabir Khan (director)
yp5527	Jaime Pressly
yp18736	Franco Franchi
yp5185	Dagmara Dominczyk
yp12714	Nathan Davis (actor)
yp424	Steven Bauer
yp41240	Piers Haggard
yp10943	Choi Jeong-yoon
yp13322	Judith Barrett
yp8890	John Bennett (actor)
yp39019	Eric Kaplan
yp10459	Gary Imhoff
yp8325	Dane Clark
yp14875	Nichola Burley
yp10607	Robert Gillespie
yp14008	Glyn Houston
yp17208	Paul Brooke
yp59012	Giuseppe Amato
yp969545	Chuck Lamb
yp2340	Rawiri Paratene
yp11019	Arno Frisch
yp18231	Martin Spanjers
yp17935	Manuel F. Araujo
yp21754	Billy Unger
yp88861	Duncan Jones
yp87442	John Sichel
yp90506	Alain Silver
yp5045	Micheline Presle
yp17736	Jeremy Miller
yp69312	Ralph Nelson
yp6216	Garry Marshall
yp18312	Sue Carol
yp56133	Albert Russell (director)
yp7520	Moira Harris
yp86489	Nigel Cole
yp2058	Ron Rifkin
yp11865	Tracey Gold
yp64272	Nick Willing
yp6385	Irene Worth
yp14383	Jerzy Turek
yp11825	Sydney Tamiia Poitier
yp87071	Jason Reitman
yp9177	Petchtai Wongkamlao
yp8407	Trisha Krishnan
yp933576	Alan Devine
yp14733	Faten Hamama
yp1134056	Annelle Hayes
yp57901	Alain Corneau
yp172	Winona Ryder
yp30242	Ib Melchior
yp3629	Robert Flemyng
yp2131	Barney Martin
yp13438	Jill Adams
yp16573	Elaine Kao
yp7124	Michael Riley
yp1120814	Alex Zakrzewski
yp14730	Mary Miles Minter
yp5174	Scout Taylor-Compton
yp7467	Mary Fuller
yp17100	Amy Weber
yp990237	Juan Cruz (director)
yp52310	James Bobin
yp7707	Fred Kohler
yp88133	Desmond Mullen
yp28983	Tony Gayton
yp89495	Nicole Kassell
yp17215	Lindsay Sloane
yp2496	Jean Marsh
yp87828	Paolo Sorrentino
yp59456	Juraj Jakubisko
yp27768	Polly Platt
yp87449	Bruce Weber (photographer)
yp59610	H. Scott Hughes
yp37	Brendan Gleeson
yp2004	Peter Lawford
yp3799	Irene Gorovaia
yp64013	Francesca Comencini
yp1113010	Tom Cramer
yp21354	Rich Sommer
yp54265	Mahmoud Shoolizadeh
yp945159	Nathan Tipple
yp10217	Nancy Parsons
yp22733	Denise Galik
yp5874	Sandra Dee
yp15035	Uday Kiran
yp14059	Gabrielle Miller
yp1147066	Lloyd McGuire
yp56397	Michael J. Bassett
yp16123	Gregory Walcott
yp12962	Scott Cooper (director)
yp7087	Richard Lynch (actor)
yp90956	Van Vandegrift
yp18712	Vaibhav Reddy
yp3357	Jean-Pierre Cassel
yp2598	Moses Gunn
yp7898	John Castle
yp16715	Paul Cavanagh
yp22581	Cory Monteith
yp62046	Shaun Davey
yp4467	Madhoo
yp50795	Adam Zwar
yp39305	Michael Carreras
yp1605	Anthony Newley
yp21720	Joe Hursley
yp87331	Hideo Gosha
yp17821	Jason David Frank
yp90032	Leanna Creel
yp34526	Joone (director)
yp57339	Mahalakshmi Iyer
yp13439	Wendy Hoopes
yp87120	Larisa Shepitko
yp735	Humphrey Bogart
yp1159346	Vincent Peranio
yp19054	Nicola Peltz
yp87669	Aaron Lubarsky
yp940786	Helen Masters
yp970679	Krista Vendy
yp22087	Viva Bianca
yp19657	Jiah Khan
yp14524	Scott Patterson (actor)
yp13080	Marvin Agustin
yp19642	Sasha Grey
yp27113	James V. Hart
yp12294	Max Brown
yp89835	Allan Carr
yp4129	Alan King (comedian)
yp20790	Noel Gugliemi
yp1002556	Mandy Schaffer
yp18911	Bernice Liu
yp12481	Annette Kellerman
yp10244	J. Evan Bonifant
yp995341	Willi One Blood
yp23284	Bernie Brillstein
yp7323	Roman Polanski
yp8818	Nancy Kelly
yp1875	Roberto Benigni
yp748	Laurence Harvey
yp1141341	Michael R. Burns
yp7597	Charlie Murphy
yp3910	Alison Pill
yp1278928	Chris Grismer
yp1094310	Toru Miura
yp6406	Mabel Rivera
yp8223	Francis Matthews (actor)
yp1083190	Philip Bird
yp1050148	Bonnie Lythgoe
yp1103074	Lee Lanier
yp14652	Timothy Carey
yp4980	John Le Mesurier
yp8575	Simi Garewal
yp30626	Jerry Weintraub
yp53005	John McArdle
yp5849	Jason Tobin
yp6956	Orestes Matacena
yp15988	Karen Witter
yp67853	Roy E. Disney
yp89259	Dover Kosashvili
yp86690	Mike Newell (director)
yp11277	Brigid Bazlen
yp86952	Peter Shin
yp22281	William Gregory Lee
yp1925	Geoffrey Palmer (actor)
yp1048578	Brendan Ford
yp27348	Michael Garrison (producer)
yp18555	Rose Hill (actress)
yp5890	Catalina Sandino Moreno
yp7012	Bruce Bruce
yp55467	Jamie Gorenberg
yp2968	Alan Napier
yp16701	Marguerite Viby
yp34013	Frank E. Flowers
yp1252004	Simon Naylor
yp14479	Cec Linder
yp13520	Jack Conway (filmmaker)
yp64211	Oren Peli
yp17893	Allan Medina
yp14344	Steven Franken
yp16966	David Kross
yp5077	Brooke Shields
yp31074	Dai Nagao
yp7342	Carlos Ponce
yp22079	Cheung Siu-fai
yp47506	Olli Saarela
yp12118	Jessica Stroup
yp1147367	Jaya Bhattacharya
yp87657	John G. Adolfi
yp28710	Stephen Metcalfe
yp12640	Myrna Fahey
yp1069377	Scott Klace
yp1155	Robert MacNaughton
yp16919	Rodger Corser
yp23154	Sydney Newman
yp11650	Ty Panitz
yp21738	Victor Sen Yung
yp12181	Jemma Redgrave
yp13016	Mayilsamy
yp7331	James Marcus
yp973913	Mary Beth Decker
yp12153	Navin Chowdhry
yp8845	Joe Dallesandro
yp36538	Ivan Sen
yp1074061	Anna Hope
yp88517	Pedro Sienna
yp2592	Anthony LaPaglia
yp64869	Carlos Coimbra
yp34054	Charles Marquis Warren
yp1658	Nicholas Farrell
yp86615	George Ogilvie
yp9319	Robert Benchley
yp4215	G. W. Bailey
yp1012	Michelle Johnson (actress)
yp22473	Katia Winter
yp2452	Robert Harron
yp15006	Angela Cartwright
yp3969	Lauren Ambrose
yp16208	Chris Tashima
yp1002636	Deborah Day
yp5867	Erik Palladino
yp3095	Ricky Jay
yp3444	Margot Kidder
yp6222	Irwin Corey
yp13114	Chakrit Yamnam
yp768	Jeff Richards (baseball player/actor)
yp10237	David Hartman (TV personality)
yp57587	Charles Saunders (director)
yp86457	Marv Newland
yp12759	Chartchai Ngamsan
yp51084	Kingsley Ogoro
yp8779	Bill Hader
yp87652	Harley Cokeliss
yp649	Victor Garber
yp19832	Gustl Bayrhammer
yp41992	Madhur Bhandarkar
yp14499	Toni Servillo
yp22170	Mohini (Tamil actress)
yp12845	Payal Rohatgi
yp18350	Perla Haney-Jardine
yp10113	Linden Chiles
yp1437	Dean Martin
yp18267	Luciana Carro
yp10790	Ken Murray (entertainer)
yp2407	Sidney Blackmer
yp3807	Kevin Schmidt
yp985019	John Zibell
yp1147040	Angus Cameron (director)
yp4805	Oprah Winfrey
yp6699	Rick Gonzalez
yp10437	Richard Fiske
yp11255	Katy Kurtzman
yp1996	Richard Todd
yp15296	Olive Thomas
yp5252	Alice Greczyn
yp88318	Robert Allan Ackerman
yp36646	Jeremy Kagan
yp12188	Aure Atika
yp2156	Dorothy Vernon
yp31217	David Susskind
yp910677	Timothy Stickney
yp980900	Lorna Lewis (actress)
yp36204	Robert Illes
yp6310	Holliston Coleman
yp21510	Felicity Waterman
yp20107	Nico Tortorella
yp63331	Earle Rodney
yp7076	Gina Lollobrigida
yp61540	Martin Ransohoff
yp25897	Bob Dolman
yp2490	Phyllis Haver
yp16507	Hugh Prosser
yp663	Bill Pullman
yp10901	Sho Kosugi
yp19448	Marcia Wallace
yp2316	Brian Thompson (actor)
yp12151	Takanori Jinnai
yp4675	Sharla Cheung
yp25443	Richard LaGravenese
yp6794	Gunnel Lindblom
yp10726	Stephanie Lemelin
yp1320814	Jacques Thébault
yp20331	Hyun Young
yp1284688	Mervyn Cumming
yp16664	Julie Estelle
yp12406	Jackie Condon
yp19754	Louan Gideon
yp42291	Kittikorn Liasirikun
yp3916	Sophia Myles
yp40327	Kylie Foster
yp6082	Kate Maberly
yp41428	Stephenie Meyer
yp90897	Mary Queeny
yp7422	America Ferrera
yp8675	Pat Bishop
yp2627	Brigitte Lin
yp15349	Siqin Gaowa
yp17867	Tonico Pereira
yp997026	Angela Lanza (actress)
yp924767	Raymond Cusick
yp14987	Blanquita Amaro
yp12483	Charlotte Gainsbourg
yp14157	Ralph Lewis (actor)
yp66598	Ladislav Smoljak
yp921	Shannon Cochran
yp66111	Bharathan
yp11456	Chris DeRose
yp26678	Bernardo Bertolucci
yp15531	Robert Fuller (actor)
yp16018	Ngo Thanh Van
yp20174	Avan Jogia
yp550	Rufus (actor)
yp21566	Jerry Adler
yp14886	Selmer Jackson
yp38691	Kathleen Beedles
yp2644	Gaston Modot
yp14212	Frieda Inescort
yp11178	JoJo (singer)
yp20175	Jessica Szohr
yp9781	Juliet Mills
yp1048533	John Bartha
yp45032	Juan Carlos Fresnadillo
yp22282	Valerie Azlynn
yp1680	Naveen Andrews
yp1279624	Adam Bristol
yp11824	Helen Moulder
yp574	Lionel Barrymore
yp1118536	Storm Chasers (TV series)
yp17742	K. S. Ravikumar
yp23470	Gene Roddenberry
yp7359	Pam Dawber
yp39781	Dayyan Eng
yp12231	Thurston Hall
yp20396	Akira Kurosawa
yp63965	Vasant Desai
yp41155	Tajja Isen
yp1147782	Eddie Tagoe
yp19203	Heike Makatsch
yp3239	Jet Li
yp5900	Celia Ireland
yp14392	Christopher Reynalds
yp20609	Shanthi Lekha
yp21599	Micah Sloat
yp61978	Nikolai van der Heyde
yp10320	Mady Christians
yp17038	Kwai Lun-mei
yp17929	Jamie Uys
yp7676	Richard Moir
yp22865	Eric Stonestreet
yp24293	Robert Towne
yp87491	Joel Lamangan
yp12539	Richard Hurndall
yp5839	Aaliyah
yp1266690	Judith Weston
yp9922	George Dolenz
yp1001093	Sam Slovick
yp1245519	Peggy Gordon (singer)
yp983238	Nina Fry
yp17122	Doodles Weaver
yp7924	Duncan Regehr
yp12661	Kristen Cloke
yp1020164	David Labiosa
yp6954	Dennis Morgan
yp11908	Susan Kohner
yp4452	Ione Skye
yp5166	Simon Abkarian
yp40446	Krzysztof Zanussi
yp7558	Joseph Calleia
yp19749	Brigit Forsyth
yp6598	Maurice Denham
yp6246	Kevin Zegers
yp1154221	Mazz Murray
yp4811	Rya Kihlstedt
yp20671	Vladimir Yemelyanov
yp36225	The Lennon Sisters
yp17476	Armando Calvo
yp59353	Rob Margolies
yp14761	Philippe Forquet
yp3797	Lana Clarkson
yp13508	Nadim Sawalha
yp7001	Wang Baoqiang
yp1719	Geena Davis
yp1685	Johnathon Schaech
yp90510	Lisa Onodera
yp57658	Stanley Donen
yp973010	Nicky Silver
yp184	Ray Romano
yp1104973	Zina Zaflow
yp42848	John Erman
yp35864	Mark Hellinger
yp987664	Tayler Kane
yp47666	Gustaf Molander
yp2939	Hugh Keays-Byrne
yp19204	Maria Doyle Kennedy
yp568	Edmund Lowe
yp1010596	Kimo Proudfoot
yp12584	Karan (actor)
yp18869	Silvana Pampanini
yp89471	Samir Seif
yp33898	Dan Sterling
yp51684	Kenneth Horne
yp1860	Yeardley Smith
yp1160888	Shahine Ezell
yp20592	Natalya Murashkevich
yp87093	Kim Ji-woon
yp3391	Vlasta Vrana
yp50893	Ali Hatami
yp3507	John Robinson (Canadian actor)
yp20987	Ileen Getz
yp1190663	Masao Nakabori
yp209	Woody Harrelson
yp61967	Adelqui Migliar
yp12152	Timothy Bateson
yp27645	Philippa Boyens
yp37137	Shinobu Yaguchi
yp21598	Katie Featherston
yp4583	Iris Graham
yp20723	Iya Savvina
yp12391	Robinne Lee
yp19038	Blanche Mehaffey
yp6518	Max Julien
yp1168478	Ryan Scott Greene
yp88261	Zhang Jianya
yp1245291	Shiraz Adam
yp1068248	Amelda Brown
yp8692	Paget Brewster
yp23686	Jonathan Mostow
yp59778	Romolo Marcellini
yp7640	Chiara Zanni
yp9044	Monica Chan
yp11268	Oleg Yefremov
yp2661	Frank Oz
yp17845	Aliza Gur
yp87996	Wu Tianming
yp13223	Julian Cheung
yp7308	Moore Marriott
yp66161	Caroline Huppert
yp16958	Leslie Bevis
yp12777	Esther Ralston
yp89520	Kaare Andrews
yp11123	Nicholas Lyndhurst
yp60450	Brad Mays
yp3736	Holland Taylor
yp16705	Cassie (singer)
yp22632	Ita Rina
yp6822	Doug Hutchison
yp14027	Hugh E. Wright
yp11778	Toshiyuki Nishida
yp12268	Blake Lively
yp90497	Patricia Broderick
yp1137423	Joel Cox
yp1031916	Nick Oram
yp7554	Fess Parker
yp89887	Matthijs van Heijningen
yp20498	Vassilis Logothetidis
yp19357	Myrtle Stedman
yp17220	Matthew Marsh (actor)
yp802	Mitzi Green
yp19420	Willard Mack
yp13162	Dick Durock
yp16152	Tota Roy Chowdhury
yp936539	Tuesday Knight
yp87580	Tommy Wiseau
yp1864	Hugo Speer
yp40598	Leonid Trauberg
yp18595	Paul Doucet
yp8652	Kevin Heffernan (actor)
yp10853	Christopher Allport
yp10843	Marguerite Chapman
yp5853	John Houseman
yp6490	Barry MacKay (actor)
yp88399	Takeshi Yagi
yp47758	Mark Poirier
yp1034033	Mac Brandt
yp1577	Ron Livingston
yp12548	Julie Le Breton
yp18767	June Caprice
yp530	Al Pacino
yp20756	Tom Ljungman
yp56367	James Szalapski
yp1120270	Joaquim Dos Santos
yp1146972	Barry Diamond
yp13102	E-40
yp9837	Addison Timlin
yp86486	Lamont Johnson
yp15037	Elsa Daniel
yp1100305	Alan McKenna (actor)
yp42798	Mardi Rustam
yp15473	Eddie Kane
yp17107	Emma Stone
yp14938	Lois Collier
yp965438	Fiona Gillies
yp924930	Zalmon Libin
yp3745	Folco Lulli
yp9694	Brendon Baerg
yp3956	Erica Leerhsen
yp6999	Sab Shimono
yp18567	Madhumitha
yp10490	Conan Lee
yp7578	Kunal Khemu
yp3234	Dandy Nichols
yp13593	Lena Cruz
yp1389	Ann Sheridan
yp22383	Bindu Panicker
yp85915	Maurice Dugowson
yp13047	James Kirkwood, Sr.
yp9919	Park Eun-hye
yp11608	Sarah Strange
yp213	Charles Durning
yp2386	Elle Macpherson
yp90007	David Pupkewitz
yp1062899	Rick Lopez
yp16661	Vicky Huang
yp19142	Choi Bool-am
yp12625	Kaori Momoi
yp2280	Ann Magnuson
yp1029058	Terrence O'Hara
yp12308	Franklin Pangborn
yp13373	Rachael Taylor
yp1219881	Sally Mayes
yp11730	Phillip Van Dyke
yp47135	Franc. Reyes
yp87	Cheryl Campbell
yp973589	P. Neelakantan
yp14867	Josef Meinrad
yp21179	Lonny Chapman
yp1078628	Major Mike Russell
yp10276	Shadia Simmons
yp1285854	Adam Pallin
yp87156	Alexis Kouros
yp18877	Jacques Godin
yp372	Max von Sydow
yp1767	Tom Berenger
yp14194	Nino Manfredi
yp7361	Claudia McNeil
yp30996	Gerry Conway
yp3677	Mark Holton
yp87295	Elliot M. Bour
yp87634	Bhandit Thongdee
yp20321	Luciano Pigozzi
yp88040	Cle Shaheed Sloan
yp982265	Sophie Evans (pornographic actress)
yp19784	Jean Constantin
yp2429	Minor Watson
yp13165	Jordan Charney
yp64074	Lyle Kessler
yp22055	Anneli Sauli
yp3612	Anna Massey
yp9464	Cassandra Magrath
yp911796	Gareth Williams (actor)
yp6510	Dorothy Dandridge
yp29375	Allan Scott (Scottish screenwriter)
yp705	Ving Rhames
yp87778	Lucius J. Henderson
yp22474	Iddo Goldberg
yp961186	Tom Warburton
yp20374	Stephanie Romanov
yp22158	Janani Iyer
yp1234271	Nick Karner
yp1385362	Bokuzō Masana
yp1127750	Atossa Leoni
yp16173	Dick Lane (TV announcer)
yp6799	Meltem Cumbul
yp15932	Edwin Maxwell
yp8947	Nicholas Bell
yp25339	Henry Ephron
yp90296	Alan Sacks
yp1016630	Susie Liggat
yp6436	Susanna Foster
yp1054138	Doug Lee (voice actor)
yp8427	Mindy Cohn
yp87956	Rodman Flender
yp2840	Kristin Griffith
yp13679	Mumaith Khan
yp89635	Masayuki Takagi
yp1322023	Zélia Gattai
yp10466	Ralf Harolde
yp10017	Gisela Uhlen
yp1552	Anne Heche
yp4523	Polly Moran
yp89879	John W. Hyde
yp23945	James L. Venable
yp89230	Gordon Wiles
yp45747	Nonzee Nimibutr
yp7334	Gary Jasgar
yp1311981	Shunya Itō
yp90123	Herb Jaffe
yp36947	Jia Zhangke
yp1260	Dick Van Patten
yp15891	Hildegarde Neil
yp15441	Shirley Patterson
yp2706	Timothy Dalton
yp9579	Charles Lawson
yp5117	Guinevere Turner
yp2326	Siegfried Rauch
yp2828	Hank Azaria
yp6976	Beth Grant
yp909926	Richard Van Vleet
yp33621	Jean Beauvoir
yp14174	Violet Mersereau
yp916838	Jon St. John
yp17942	Devan (actor)
yp20035	Mato Valtonen
yp1028185	J. Larose
yp87531	Jim Sotos
yp12258	Kiel Martin
yp38350	Dev Benegal
yp30372	Lech Majewski
yp16738	Kajal Aggarwal
yp983681	Pam Bondi
yp1190008	Sheridan Tongue
yp55904	Georges Chaperot
yp381	Thomas Kretschmann
yp4240	Urmila Matondkar
yp16905	Lynn Carlin
yp22603	Pierre Mondy
yp1385334	Félix Monti
yp918049	M. K. Raina
yp13104	Kirsty Child
yp16191	Warren Hull
yp10449	Yoshifumi Tajima
yp91367	Ike Jones
yp912430	Catherine E. Coulson
yp12191	Nickolas Grace
yp13251	Carolina Crescentini
yp21006	Mary Nighy
yp22844	Jenny Laird
yp87245	Daniel Sackheim
yp87839	Roar Uthaug
yp15413	Enrique Serrano
yp1192	Peggy Cummins
yp4163	Ted Danson
yp19915	Larry Brantley
yp7994	Carmen Argenziano
yp1180431	Denis Crossan
yp876	Erik Rhodes (actor)
yp11206	Tomio Aoki
yp87793	Lamar Johnstone
yp23774	Leonard Freeman
yp5748	Amy O'Neill
yp25287	Jeff Alexander
yp89909	Marc E. Platt
yp2462	Anthony Zerbe
yp15070	Mario Soffici
yp47325	Yoram Gross
yp24497	Walon Green
yp9772	Drew Fuller
yp27090	Howard Hughes
yp81120	Sergio Grieco
yp2218	Jeannine Taylor
yp6075	Rosemary DeCamp
yp23960	Tony Gilroy
yp1046758	David Walsh (psychologist)
yp2571	Brock Peters
yp2133	Jill Eikenberry
yp21910	Johnny A. Sanchez
yp5950	Shawn Ku
yp20334	John Nettleton (actor)
yp2622	Carina Lau
yp5808	Dominique Horwitz
yp7624	Farida Jalal
yp30948	Peter Allan Fields
yp8468	Lynne Frederick
yp4733	Rhea Perlman
yp6830	Lauren Lee Smith
yp1272100	Tiffany Laufer
yp11030	Gabrielle Rose (actress)
yp90610	Glass Eye Pix
yp2586	Carol Channing
yp21442	Koji Shima
yp9739	Gail Patrick
yp13799	RonReaco Lee
yp34855	John Leekley
yp472	Drew Barrymore
yp16122	Warren Stevens
yp7649	Angus Scrimm
yp960468	Raven Riley
yp23601	Chris Carter (screenwriter)
yp1844	Miriam Margolyes
yp86912	Ernie Barbarash
yp15183	Angeline Ball
yp47572	John Cherry Monks, Jr.
yp18402	Brandon DeShazer
yp20900	Jenni Baird
yp1021321	Molly Ephraim
yp15464	Olga Zubarry
yp1253925	Robert Rovner
yp6716	Reg Varney
yp49	Adam West
yp22216	Daniel Filho
yp12569	Walter Burke
yp12909	Matt McHugh
yp1118201	Nate Branch
yp11642	John Paul Pitoc
yp13661	Samvrutha Sunil
yp9591	Adam Rifkin
yp19894	Shoshana Bush
yp88582	Paul Fierlinger
yp5791	Lorenzo Music
yp987671	Paul Karo
yp86301	Edward S. Curtis
yp13385	Joel Gretsch
yp40232	Bert Haanstra
yp7952	Wally Boag
yp51430	Jennifer Lynch
yp17246	Kevin Jonas
yp9022	Poonam Dhillon
yp3358	Robert Englund
yp87194	Colin Brady
yp26668	John Lasseter
yp19022	Jodi Thelen
yp91165	Ralph Endersby
yp9520	Sol Kyung-gu
yp1019876	Cindy Robinson
yp24715	Doug TenNapel
yp6392	Alessandra Martines
yp3576	Nina Mae McKinney
yp12420	Peter Stickles
yp1027111	John Catucci
yp22147	Alessandra Acciai
yp6983	Julia Jentsch
yp939947	Kris Zimmerman
yp959902	Cliff Cudney
yp18552	Gaelan Connell
yp8881	Kick Gurry
yp19119	Linda Chung
yp1314422	Ajayan (director)
yp898356	Hedda Lettuce
yp5476	Ursula Andress
yp6767	Austin Stoker
yp89089	Christopher Long (director)
yp21267	Julia Nickson-Soul
yp15639	Abdel Halim Hafez
yp87007	Robert Schwentke
yp19209	Brady Smith (actor)
yp8217	Elaine Devry
yp10549	Jonathan Phillips
yp13732	Sajjad Ali
yp90634	Venu Ravichandran
yp65179	Thomas Fantl
yp3299	Yvette Vickers
yp4018	Debi Mazar
yp6845	Zinedine Soualem
yp8570	Richard Belzer
yp18086	Dorothy Jordan (film actress)
yp18077	Frank Craven
yp16977	Fred Feast
yp18206	Geoffrey Russell
yp8114	John Ales
yp5980	Jason Behr
yp11270	Bryan Murray (actor)
yp792	Ann Harding
yp1054080	Tito Larriva
yp965195	Samm Barnes
yp8472	Eduardo Ciannelli
yp22980	Slavko Brankov
yp41330	Jean Cocteau
yp1141625	Maria Bakodimou
yp3811	Jesse Hutch
yp7263	Vilen Galstyan
yp6576	Ray Barrett
yp13492	Susan Peters
yp19393	Raye Birk
yp18961	David Castro (actor)
yp1362811	Zoë Poledouris
yp20352	Ogie Alcasid
yp4268	Margaret Hamilton
yp1905	Richard Roxburgh
yp7174	Janet Burston
yp16653	Lorcan Cranitch
yp3944	Norma Ronald
yp1990	Louis Gossett, Jr.
yp11483	Brooke Nevin
yp10772	Jocelyn Quivrin
yp63487	Mario Martone
yp8889	James Bolam
yp1160043	Anne Berit Vestby
yp62191	Vivian Green
yp9478	Charles Winninger
yp25563	Peter Chung
yp44499	Blake Masters
yp108969	Linda Armstrong
yp14776	Stan Freberg
yp49024	Justin Monjo
yp12459	Gwynne Gilford
yp16554	Aamani
yp1156426	Faryal Gohar
yp10665	Sophie Vavasseur
yp16949	Yangzom Brauen
yp3028	Cheri Oteri
yp56285	Grant Nieporte
yp342	Wallace Shawn
yp11573	Leonardo Villar
yp4857	Vinnie Jones
yp2471	Alexa Vega
yp86815	Benjamin Stoloff
yp19991	Poul Reumert
yp1124792	Pierre Houde
yp20056	Peter Steen
yp11048	Minerva Urecal
yp86419	Wolfgang Reitherman
yp12652	Jessica Kiper
yp20146	Candice Yu
yp544	Spencer Tracy
yp8535	Dee Smart
yp1019094	Dennis Regan
yp65505	Jean-Pierre Blanc
yp4446	Chris Drake
yp963	Jonathan Hardy
yp2288	Blanche Friderici
yp1385350	Sulakshana (actress)
yp90017	Noel Marshall
yp1140955	Eric Patrick
yp48269	Alan James
yp6096	Connor Paolo
yp1029039	Ebony Ayes
yp10250	Sybil Danning
yp8742	Richard Gutierrez
yp992425	Lucky Englander
yp1156302	Inez Palange
yp22335	Keith-Lee Castle
yp44409	Matthew Michael Carnahan
yp7814	Massimo Girotti
yp7466	Charles Stanton Ogle
yp6727	Keir O'Donnell
yp1025802	Lenne Hardt
yp4826	Mitzi McCall
yp12889	Eric Schaeffer
yp55930	Jean Image
yp10006	Urbano Barberini
yp8497	Michael Treanor
yp21527	Sharyn Moffett
yp9619	Joy Allen
yp9094	Brittney Powell
yp19046	Sandy Gore
yp21472	Jacqueline MacInnes Wood
yp8101	Erika Blanc
yp22086	Chris Sadrinna
yp15338	Adoni Maropis
yp15677	John Noble
yp9706	Rebecca Gibney
yp16434	Christina DeRosa
yp7431	Rhoda Griffis
yp14273	Bernard Giraudeau
yp49113	Kinji Fukasaku
yp82381	Aleksandr Alov
